Nfur_Accession	Nfur_Description	Nfur_Symbol	Mmu_Symbol
XP_015796736.1	olfactory receptor 1-like	LOC107373072	Olfr1053
XP_015796736.1	olfactory receptor 1-like	LOC107373072	Olfr993
XP_015796736.1	olfactory receptor 1-like	LOC107373072	Olfr1453
XP_015796736.1	olfactory receptor 1-like	LOC107373072	Olfr1282
XP_015796744.1	ras-related protein Rab-26-like	LOC107373080	Rab44
XP_015796748.1	dimethylaniline monooxygenase [N-oxide-forming] 5-like isoform X3	LOC107373082	Fmo6
XP_015796751.1	xaa-Pro aminopeptidase 1-like isoform X1	LOC107373086	Xpnpep1
XP_015796753.1	kynurenine 3-monooxygenase-like	LOC107373087	Kmo
XP_015796754.1	GLIPR1-like protein 1	LOC107373089	Glipr1l2
XP_015796754.1	GLIPR1-like protein 1	LOC107373089	Glipr1l1
XP_015796754.1	GLIPR1-like protein 1	LOC107373089	Glipr1
XP_015796754.1	GLIPR1-like protein 1	LOC107373089	Glipr1l3
XP_015796755.1	TRPM8 channel-associated factor homolog	LOC107373091	Tcaf3
XP_015796755.1	TRPM8 channel-associated factor homolog	LOC107373091	Tcaf1
XP_015796755.1	TRPM8 channel-associated factor homolog	LOC107373091	Tcaf2
XP_015796762.1	calsenilin-like isoform X2	LOC107373090	Kcnip3
XP_015796764.1	gastrula zinc finger protein XlCGF57.1-like	LOC107373102	Gm4767
XP_015796764.1	gastrula zinc finger protein XlCGF57.1-like	LOC107373102	Gm10778
XP_015796764.1	gastrula zinc finger protein XlCGF57.1-like	LOC107373102	Zfp882
XP_015796764.1	gastrula zinc finger protein XlCGF57.1-like	LOC107373102	Repin1
XP_015796764.1	gastrula zinc finger protein XlCGF57.1-like	LOC107373102	Zfp300
XP_015796765.1	protein RMD5 homolog B-like	LOC107373103	Rmnd5a
XP_015796765.1	protein RMD5 homolog B-like	LOC107373103	Rmnd5b
XP_015796766.1	polycomb protein suz12-like	LOC107373105	Suz12
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	Trim39
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	Trim17
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	Trim26
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	Trim30d
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	Trim34b
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	Trim12a
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	Trim6
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	Trim38
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	Trim30b
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	Trim58
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	Trim12c
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	Trim21
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	Triml2
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	Trim69
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	Trim27
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	Trim10
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	Trim11
XP_015796772.1	zinc-binding protein A33-like	LOC107373108	Trim30a
XP_015796776.1	gastrula zinc finger protein XlCGF57.1-like	LOC107373114	Zfp791
XP_015796780.1	gastrula zinc finger protein XlCGF57.1-like	LOC107373119	Gm14403
XP_015796781.1	bone morphogenetic protein 1-like isoform X1	LOC107373116	Bmp1
XP_015796782.1	epsin-3-like	LOC107373120	Epn3
XP_015796784.1	metal-response element-binding transcription factor 2-like	LOC107373124	Mtf2
XP_015796787.1	bone morphogenetic protein 1-like isoform X2	LOC107373116	Bmp1
XP_015796794.1	calcitonin-1-like isoform X1	LOC107373131	Calca
XP_015796795.1	calcitonin gene-related peptide-like isoform X2	LOC107373131	Calca
XP_015796797.1	calcitonin gene-related peptide-like isoform X3	LOC107373131	Calca
XP_015796797.1	calcitonin gene-related peptide-like isoform X3	LOC107373131	Calcb
XP_015796804.1	gastrula zinc finger protein XlCGF8.2DB-like	LOC107373142	Zfp61
XP_015796804.1	gastrula zinc finger protein XlCGF8.2DB-like	LOC107373142	Gm28557
XP_015796804.1	gastrula zinc finger protein XlCGF8.2DB-like	LOC107373142	Zfp81
XP_015796805.1	myosin-11-like	LOC107373143	Myh9
XP_015796806.1	ubiquinol-cytochrome-c reductase complex assembly factor 2	LOC107373147	Uqcc2
XP_015796807.1	olfactory receptor 6N2-like	LOC107373151	Olfr198
XP_015796807.1	olfactory receptor 6N2-like	LOC107373151	Olfr332
XP_015796807.1	olfactory receptor 6N2-like	LOC107373151	Olfr209
XP_015796807.1	olfactory receptor 6N2-like	LOC107373151	Olfr809
XP_015796807.1	olfactory receptor 6N2-like	LOC107373151	Olfr197
XP_015796807.1	olfactory receptor 6N2-like	LOC107373151	Olfr1301
XP_015796807.1	olfactory receptor 6N2-like	LOC107373151	Olfr193
XP_015796810.1	signal transducer and activator of transcription 5B-like	LOC107373153	Stat6
XP_015796810.1	signal transducer and activator of transcription 5B-like	LOC107373153	Stat5a
XP_015796811.1	zinc finger protein OZF-like	LOC107373154	Gm14419
XP_015796811.1	zinc finger protein OZF-like	LOC107373154	Gm14326
XP_015796811.1	zinc finger protein OZF-like	LOC107373154	Gm14412
XP_015796811.1	zinc finger protein OZF-like	LOC107373154	Zfp445
XP_015796811.1	zinc finger protein OZF-like	LOC107373154	Gm14391
XP_015796811.1	zinc finger protein OZF-like	LOC107373154	Gm14399
XP_015796811.1	zinc finger protein OZF-like	LOC107373154	Zfp74
XP_015796811.1	zinc finger protein OZF-like	LOC107373154	Zfp933
XP_015796811.1	zinc finger protein OZF-like	LOC107373154	Gm14325
XP_015796811.1	zinc finger protein OZF-like	LOC107373154	Zfp970
XP_015796811.1	zinc finger protein OZF-like	LOC107373154	Rbak
XP_015796811.1	zinc finger protein OZF-like	LOC107373154	Gm2004
XP_015796811.1	zinc finger protein OZF-like	LOC107373154	Zfp553
XP_015796811.1	zinc finger protein OZF-like	LOC107373154	Gm6710
XP_015796812.1	caskin-1-like	LOC107373155	Caskin1
XP_015796812.1	caskin-1-like	LOC107373155	Trank1
XP_015796813.1	orexin	hcrt	Hcrt
XP_015796814.1	ADP-ribosylation factor-related protein 1	LOC107373158	Arfrp1
XP_015796816.1	thioredoxin-interacting protein	txnip	Txnip
XP_015796822.1	macrophage mannose receptor 1-like	LOC107373169	Reg2
XP_015796822.1	macrophage mannose receptor 1-like	LOC107373169	Clec1a
XP_015796822.1	macrophage mannose receptor 1-like	LOC107373169	Klrd1
XP_015796822.1	macrophage mannose receptor 1-like	LOC107373169	Reg1
XP_015796826.1	AP2-associated protein kinase 1-like isoform X2	LOC107373159	Aak1
XP_015796829.1	transmembrane gamma-carboxyglutamic acid protein 4	prrg4	Prrg4
XP_015796829.1	transmembrane gamma-carboxyglutamic acid protein 4	prrg4	Prrg2
XP_015796831.1	prolyl 3-hydroxylase 1-like	LOC107373178	P3h1
XP_015796833.1	pleckstrin homology domain-containing family O member 2 isoform X2	plekho2	Plekho2
XP_015796834.1	ribonuclease P protein subunit p29	pop4	Pop4
XP_015796835.1	annexin A4	anxa4	Anxa4
XP_015796835.1	annexin A4	anxa4	Anxa10
XP_015796835.1	annexin A4	anxa4	Anxa5
XP_015796838.1	zinc finger protein 883-like isoform X1	LOC107373187	Zfp459
XP_015796839.1	zinc finger protein OZF-like isoform X2	LOC107373187	Zfp426
XP_015796839.1	zinc finger protein OZF-like isoform X2	LOC107373187	Zfp456
XP_015796839.1	zinc finger protein OZF-like isoform X2	LOC107373187	Zfp946
XP_015796839.1	zinc finger protein OZF-like isoform X2	LOC107373187	Zfp951
XP_015796839.1	zinc finger protein OZF-like isoform X2	LOC107373187	Zfp942
XP_015796839.1	zinc finger protein OZF-like isoform X2	LOC107373187	Platr25
XP_015796839.1	zinc finger protein OZF-like isoform X2	LOC107373187	Zfp568
XP_015796841.1	UPF0547 protein C16orf87 homolog	LOC107373189	4921524J17Rik
XP_015796842.1	mamu class II histocompatibility antigen, DR alpha chain-like	LOC107373192	H2-Ea
XP_015796842.1	mamu class II histocompatibility antigen, DR alpha chain-like	LOC107373192	H2-Aa
XP_015796842.1	mamu class II histocompatibility antigen, DR alpha chain-like	LOC107373192	H2-Oa
XP_015796842.1	mamu class II histocompatibility antigen, DR alpha chain-like	LOC107373192	H2-Bl
XP_015796842.1	mamu class II histocompatibility antigen, DR alpha chain-like	LOC107373192	Ighd
XP_015796842.1	mamu class II histocompatibility antigen, DR alpha chain-like	LOC107373192	H2-K1
XP_015796844.1	prolactin-releasing peptide receptor-like	LOC107373190	Prlhr
XP_015796847.1	cytochrome b ascorbate-dependent protein 3-like	LOC107373198	Cyb561a3
XP_015796851.1	transcription factor IIIB 50 kDa subunit	brf2	Brf2
XP_015796870.1	U7 snRNA-associated Sm-like protein LSm10	lsm10	Lsm10
XP_015796872.1	serine/threonine-protein kinase ULK2	ulk2	Ulk1
XP_015796872.1	serine/threonine-protein kinase ULK2	ulk2	Ulk2
XP_015796874.1	zinc finger protein 518A-like	LOC107373221	Zfp518b
XP_015796874.1	zinc finger protein 518A-like	LOC107373221	Zfp518a
XP_015796875.1	RNA-binding protein 12B-B-like	LOC107373222	Rbm12b2
XP_015796875.1	RNA-binding protein 12B-B-like	LOC107373222	Rbm12b1
XP_015796879.1	zinc finger protein 572-like	LOC107373228	Zfp972
XP_015796879.1	zinc finger protein 572-like	LOC107373228	Gm14408
XP_015796879.1	zinc finger protein 572-like	LOC107373228	Gm11009
XP_015796880.1	ETS-related transcription factor Elf-3-like isoform X1	LOC107373230	Elf3
XP_015796883.1	protein FAM151B-like	LOC107373233	Fam151a
XP_015796883.1	protein FAM151B-like	LOC107373233	Fam151b
XP_015796885.1	calcium-binding protein 1-like isoform X1	LOC107373232	Cabp1
XP_015796885.1	calcium-binding protein 1-like isoform X1	LOC107373232	Cabp2
XP_015796890.1	calcium-binding protein 1-like isoform X2	LOC107373232	Cabp1
XP_015796893.1	actin-related protein 3-like	LOC107373242	Actr3b
XP_015796897.1	butyrophilin-like protein 2	LOC107373246	Btnl2
XP_015796897.1	butyrophilin-like protein 2	LOC107373246	Skint11
XP_015796897.1	butyrophilin-like protein 2	LOC107373246	Skint4
XP_015796897.1	butyrophilin-like protein 2	LOC107373246	Skint1
XP_015796897.1	butyrophilin-like protein 2	LOC107373246	Btnl10
XP_015796897.1	butyrophilin-like protein 2	LOC107373246	Skint6
XP_015796897.1	butyrophilin-like protein 2	LOC107373246	Mog
XP_015796897.1	butyrophilin-like protein 2	LOC107373246	Skint3
XP_015796897.1	butyrophilin-like protein 2	LOC107373246	Skint2
XP_015796897.1	butyrophilin-like protein 2	LOC107373246	Skint10
XP_015796897.1	butyrophilin-like protein 2	LOC107373246	Skint9
XP_015796899.1	zinc finger and BTB domain-containing protein 1	zbtb1	Zbtb1
XP_015796901.1	zinc finger and BTB domain-containing protein 25	zbtb25	Zbtb25
XP_015796901.1	zinc finger and BTB domain-containing protein 25	zbtb25	Mynn
XP_015796902.1	nectin-1-like	LOC107373249	Tigit
XP_015796905.1	calcium-binding protein 1-like isoform X4	LOC107373232	Cabp1
XP_015796914.1	zinc finger protein 260-like	LOC107373262	Zfp473
XP_015796914.1	zinc finger protein 260-like	LOC107373262	Zfp442
XP_015796914.1	zinc finger protein 260-like	LOC107373262	Zfp945
XP_015796914.1	zinc finger protein 260-like	LOC107373262	Zfp345
XP_015796914.1	zinc finger protein 260-like	LOC107373262	5430403G16Rik
XP_015796914.1	zinc finger protein 260-like	LOC107373262	Zfp873
XP_015796914.1	zinc finger protein 260-like	LOC107373262	Zfp788
XP_015796914.1	zinc finger protein 260-like	LOC107373262	Zfp169
XP_015796914.1	zinc finger protein 260-like	LOC107373262	Zfp457
XP_015796914.1	zinc finger protein 260-like	LOC107373262	4930522L14Rik
XP_015796914.1	zinc finger protein 260-like	LOC107373262	Gm29106
XP_015796914.1	zinc finger protein 260-like	LOC107373262	Zfp7
XP_015796914.1	zinc finger protein 260-like	LOC107373262	Zfp976
XP_015796914.1	zinc finger protein 260-like	LOC107373262	BC024063
XP_015796914.1	zinc finger protein 260-like	LOC107373262	Zfp268
XP_015796914.1	zinc finger protein 260-like	LOC107373262	Zfp808
XP_015796915.1	oocyte zinc finger protein XlCOF6.1-like	LOC107373265	Zscan21
XP_015796915.1	oocyte zinc finger protein XlCOF6.1-like	LOC107373265	Zfp110
XP_015796915.1	oocyte zinc finger protein XlCOF6.1-like	LOC107373265	Zfp853
XP_015796915.1	oocyte zinc finger protein XlCOF6.1-like	LOC107373265	E430018J23Rik
XP_015796915.1	oocyte zinc finger protein XlCOF6.1-like	LOC107373265	Zfp661
XP_015796915.1	oocyte zinc finger protein XlCOF6.1-like	LOC107373265	Zkscan3
XP_015796915.1	oocyte zinc finger protein XlCOF6.1-like	LOC107373265	Zfp128
XP_015796915.1	oocyte zinc finger protein XlCOF6.1-like	LOC107373265	Gm2381
XP_015796915.1	oocyte zinc finger protein XlCOF6.1-like	LOC107373265	Zfp358
XP_015796915.1	oocyte zinc finger protein XlCOF6.1-like	LOC107373265	Zfp558
XP_015796915.1	oocyte zinc finger protein XlCOF6.1-like	LOC107373265	Zfp978
XP_015796915.1	oocyte zinc finger protein XlCOF6.1-like	LOC107373265	Zfp369
XP_015796915.1	oocyte zinc finger protein XlCOF6.1-like	LOC107373265	Zkscan16
XP_015796915.1	oocyte zinc finger protein XlCOF6.1-like	LOC107373265	Zfp764
XP_015796928.1	gamma-glutamyltransferase 5-like	LOC107373279	Ggt5
XP_015796932.1	LYR motif-containing protein 2	lyrm2	Lyrm2
XP_015796935.1	leucine-rich repeat-containing protein 75B-like	LOC107373287	Lrrc75b
XP_015796939.1	gastrula zinc finger protein XlCGF57.1-like	LOC107373296	Zfp82
XP_015796939.1	gastrula zinc finger protein XlCGF57.1-like	LOC107373296	Gm21994
XP_015796939.1	gastrula zinc finger protein XlCGF57.1-like	LOC107373296	Zfp334
XP_015796939.1	gastrula zinc finger protein XlCGF57.1-like	LOC107373296	2010315B03Rik
XP_015796939.1	gastrula zinc finger protein XlCGF57.1-like	LOC107373296	Zfp14
XP_015796939.1	gastrula zinc finger protein XlCGF57.1-like	LOC107373296	Zfp455
XP_015796939.1	gastrula zinc finger protein XlCGF57.1-like	LOC107373296	Zfp963
XP_015796939.1	gastrula zinc finger protein XlCGF57.1-like	LOC107373296	Zfp93
XP_015796939.1	gastrula zinc finger protein XlCGF57.1-like	LOC107373296	A430033K04Rik
XP_015796939.1	gastrula zinc finger protein XlCGF57.1-like	LOC107373296	Zfp30
XP_015796939.1	gastrula zinc finger protein XlCGF57.1-like	LOC107373296	Zfp454
XP_015796947.1	ER lumen protein-retaining receptor 2 isoform X1	LOC107373304	Kdelr1
XP_015796948.1	ER lumen protein-retaining receptor 2 isoform X2	LOC107373304	Kdelr1
XP_015796948.1	ER lumen protein-retaining receptor 2 isoform X2	LOC107373304	Kdelr2
XP_015796949.1	E3 ubiquitin-protein ligase RNF34-like isoform X2	LOC107373299	Rnf34
XP_015796951.1	AP-5 complex subunit sigma-1	ap5s1	Ap5s1
XP_015796958.1	TBC1 domain family member 14-like	LOC107373316	Tbc1d14
XP_015796959.1	calcium release-activated calcium channel protein 1	orai1	Orai1
XP_015796959.1	calcium release-activated calcium channel protein 1	orai1	Orai3
XP_015796963.1	acid ceramidase	asah1	Asah1
XP_015796970.1	FUN14 domain-containing protein 1-like	LOC107373333	1700034I23Rik
XP_015796970.1	FUN14 domain-containing protein 1-like	LOC107373333	Fundc2
XP_015796973.1	pre-mRNA-splicing factor 38A	prpf38a	Prpf38a
XP_015796974.1	granzyme G-like	LOC107373338	Gzmg
XP_015796974.1	granzyme G-like	LOC107373338	Gzmn
XP_015796974.1	granzyme G-like	LOC107373338	Mcpt8
XP_015796978.1	histone-lysine N-methyltransferase SETD1B isoform X1	setd1b	Setd1b
XP_015796980.1	gastrula zinc finger protein XlCGF57.1-like	LOC107373346	Mzf1
XP_015796980.1	gastrula zinc finger protein XlCGF57.1-like	LOC107373346	Zfp664
XP_015796982.1	DNA-directed RNA polymerase III subunit RPC7-like isoform X2	polr3gl	Polr3gl
XP_015796983.1	histone-lysine N-methyltransferase SETD1B isoform X2	setd1b	Setd1b
XP_015796987.1	gastrula zinc finger protein XlCGF26.1-like	LOC107373356	Zfp956
XP_015796988.1	MRG/MORF4L-binding protein	mrgbp	Mrgbp
XP_015796989.1	transmembrane protein 120B isoform X1	LOC107373355	Tmem120b
XP_015796994.1	transmembrane protein 120B isoform X2	LOC107373355	Tmem120b
XP_015796998.1	cytochrome b5 domain-containing protein 1	LOC107373366	Cyb5d1
XP_015797000.1	dual specificity protein phosphatase 1B-like	LOC107373369	Dusp12
XP_015797001.1	rho-related GTP-binding protein RhoF-like	LOC107373367	Rhod
XP_015797001.1	rho-related GTP-binding protein RhoF-like	LOC107373367	Rhof
XP_015797007.1	gastrula zinc finger protein XlCGF57.1-like	LOC107373377	Zfp1
XP_015797008.1	reticulon-1-A-like	LOC107373378	Rtn2
XP_015797008.1	reticulon-1-A-like	LOC107373378	Rtn4
XP_015797012.1	MORN repeat-containing protein 3	morn3	Morn3
XP_015797013.1	beta-enolase	LOC107373383	Eno3
XP_015797013.1	beta-enolase	LOC107373383	Eno2
XP_015797021.1	carbonic anhydrase 15-like	LOC107373389	Car15
XP_015797025.1	integral membrane protein DGCR2/IDD isoform X1	dgcr2	Dgcr2
XP_015797029.1	integral membrane protein DGCR2/IDD isoform X2	dgcr2	Dgcr2
XP_015797029.1	integral membrane protein DGCR2/IDD isoform X2	dgcr2	Gm20518
XP_015797033.1	actin-related protein 8	actr8	Actr8
XP_015797035.1	selenoprotein K isoform X2	LOC107373409	Selenok
XP_015797037.1	mitochondrial 2-oxoglutarate/malate carrier protein	slc25a11	Slc25a11
XP_015797038.1	protein DGCR14	dgcr14	Ess2
XP_015797041.1	complement factor D-like isoform X1	LOC107373416	Prss57
XP_015797041.1	complement factor D-like isoform X1	LOC107373416	Gzmm
XP_015797041.1	complement factor D-like isoform X1	LOC107373416	Cfd
XP_015797045.1	artemin-like	LOC107373420	Artn
XP_015797048.1	asialoglycoprotein receptor 2-like	LOC107373423	Asgr2
XP_015797048.1	asialoglycoprotein receptor 2-like	LOC107373423	Clec4a3
XP_015797048.1	asialoglycoprotein receptor 2-like	LOC107373423	Clec10a
XP_015797054.1	interleukin-6 receptor subunit alpha-like	LOC107373434	Il6ra
XP_015797055.1	E3 ubiquitin-protein ligase RNF185 isoform X1	rnf185	Rnf185
XP_015797060.1	neuroblast differentiation-associated protein AHNAK-like	LOC107373441	Ahnak2
XP_015797060.1	neuroblast differentiation-associated protein AHNAK-like	LOC107373441	Ahnak
XP_015797062.1	pre-rRNA-processing protein TSR2 homolog	tsr2	Tsr2
XP_015797071.1	iron-sulfur cluster assembly scaffold protein IscU-like	LOC107373451	Iscu
XP_015797074.1	zinc finger protein 878-like	LOC107373457	Zfp872
XP_015797076.1	transmembrane protein 119-like	LOC107373456	Tmem119
XP_015797084.1	1-acyl-sn-glycerol-3-phosphate acyltransferase delta-like	LOC107373468	Agpat4
XP_015797085.1	protocadherin gamma-A12-like	LOC107373469	Pcdhb6
XP_015797086.1	P-selectin glycoprotein ligand 1 isoform X1	selplg	Selplg
XP_015797092.1	P-selectin glycoprotein ligand 1 isoform X2	selplg	Selplg
XP_015797094.1	gastrula zinc finger protein XlCGF57.1-like	LOC107373478	Fiz1
XP_015797094.1	gastrula zinc finger protein XlCGF57.1-like	LOC107373478	Zfp457
XP_015797099.1	carbohydrate deacetylase-like	LOC107373484	Ydjc
XP_015797100.1	ribonuclease inhibitor-like	LOC107373486	Nlrp2
XP_015797101.1	zinc finger protein 845-like	LOC107373487	Zfp27
XP_015797101.1	zinc finger protein 845-like	LOC107373487	Gm49345
XP_015797101.1	zinc finger protein 845-like	LOC107373487	Zfp62
XP_015797101.1	zinc finger protein 845-like	LOC107373487	Zfp780b
XP_015797101.1	zinc finger protein 845-like	LOC107373487	Zfp850
XP_015797101.1	zinc finger protein 845-like	LOC107373487	Zfp658
XP_015797101.1	zinc finger protein 845-like	LOC107373487	Zfp974
XP_015797101.1	zinc finger protein 845-like	LOC107373487	Gm14124
XP_015797101.1	zinc finger protein 845-like	LOC107373487	Gm10033
XP_015797101.1	zinc finger protein 845-like	LOC107373487	Zfp60
XP_015797101.1	zinc finger protein 845-like	LOC107373487	Zfp729b
XP_015797101.1	zinc finger protein 845-like	LOC107373487	Zfp26
XP_015797101.1	zinc finger protein 845-like	LOC107373487	Zfp759
XP_015797101.1	zinc finger protein 845-like	LOC107373487	Gm14295
XP_015797101.1	zinc finger protein 845-like	LOC107373487	Zfp458
XP_015797101.1	zinc finger protein 845-like	LOC107373487	Zfp709
XP_015797101.1	zinc finger protein 845-like	LOC107373487	Zfp619
XP_015797101.1	zinc finger protein 845-like	LOC107373487	Gm4924
XP_015797101.1	zinc finger protein 845-like	LOC107373487	Zfp865
XP_015797101.1	zinc finger protein 845-like	LOC107373487	Zfp11
XP_015797101.1	zinc finger protein 845-like	LOC107373487	Zfp712
XP_015797101.1	zinc finger protein 845-like	LOC107373487	Zfp616
XP_015797101.1	zinc finger protein 845-like	LOC107373487	Zfp729a
XP_015797101.1	zinc finger protein 845-like	LOC107373487	Zfp738
XP_015797101.1	zinc finger protein 845-like	LOC107373487	Zfp748
XP_015797103.1	uncharacterized protein LOC107373488 isoform X1	LOC107373488	Coro1a
XP_015797108.1	zinc finger protein 418-like	LOC107373493	Zfp993
XP_015797109.1	sodium/potassium-transporting ATPase subunit beta-3-like	LOC107373494	Atp1b3
XP_015797116.1	vegetative cell wall protein gp1-like	LOC107373501	Clca3b
XP_015797120.1	coronin-1C-like isoform X2	LOC107373488	Coro1a
XP_015797126.1	dead end protein 1-like	LOC107373510	Dnd1
XP_015797128.1	complement factor H-like	LOC107373513	Cfhr1
XP_015797131.1	protein phosphatase Slingshot homolog 1-like isoform X1	LOC107373517	Ssh1
XP_015797133.1	zinc finger protein 260-like	LOC107373522	Zfp820
XP_015797133.1	zinc finger protein 260-like	LOC107373522	A630089N07Rik
XP_015797133.1	zinc finger protein 260-like	LOC107373522	Zfp932
XP_015797133.1	zinc finger protein 260-like	LOC107373522	Zfp799
XP_015797133.1	zinc finger protein 260-like	LOC107373522	Zfp28
XP_015797133.1	zinc finger protein 260-like	LOC107373522	Gm5141
XP_015797133.1	zinc finger protein 260-like	LOC107373522	Zfp948
XP_015797133.1	zinc finger protein 260-like	LOC107373522	Zfp775
XP_015797136.1	protein phosphatase Slingshot homolog 1-like isoform X2	LOC107373517	Ssh1
XP_015797143.1	PHD finger protein 12	phf12	Phf12
XP_015797144.1	28S ribosomal protein S23, mitochondrial	mrps23	Mrps23
XP_015797147.1	CUE domain-containing protein 1 isoform X2	cuedc1	Cuedc1
XP_015797152.1	unconventional myosin-Ih-like isoform X1	LOC107373543	Myo1h
XP_015797153.1	claudin-19 isoform X1	cldn19	Cldn18
XP_015797153.1	claudin-19 isoform X1	cldn19	Cldn19
XP_015797153.1	claudin-19 isoform X1	cldn19	Cldn1
XP_015797155.1	C-C motif chemokine 21-like	LOC107373549	Gm13306
XP_015797155.1	C-C motif chemokine 21-like	LOC107373549	Ccl25
XP_015797155.1	C-C motif chemokine 21-like	LOC107373549	Ccl27a
XP_015797155.1	C-C motif chemokine 21-like	LOC107373549	Ccl27b
XP_015797158.1	DNA polymerase epsilon subunit 4	pole4	Pole4
XP_015797159.1	unconventional myosin-Ih-like isoform X2	LOC107373543	Myo1h
XP_015797161.1	ras-related protein Ral-B	ralb	Ralb
XP_015797163.1	neuronal acetylcholine receptor subunit alpha-9-II-like	LOC107373524	Chrna9
XP_015797165.1	maspardin isoform X1	spg21	Spg21
XP_015797167.1	isoaspartyl peptidase/L-asparaginase-like isoform X1	LOC107373558	Asrgl1
XP_015797169.1	sushi domain-containing protein 2	susd2	Muc4
XP_015797169.1	sushi domain-containing protein 2	susd2	Susd2
XP_015797172.1	NAD-dependent protein deacetylase sirtuin-2	sirt2	Sirt2
XP_015797174.1	ATP synthase subunit s-like protein	atp5sl	Dmac2
XP_015797176.1	PR domain zinc finger protein 10 isoform X1	prdm10	Prdm10
XP_015797177.1	PR domain zinc finger protein 10 isoform X2	prdm10	Prdm10
XP_015797186.1	dual specificity protein phosphatase 6-like	LOC107373573	Dusp6
XP_015797186.1	dual specificity protein phosphatase 6-like	LOC107373573	Dusp9
XP_015797187.1	WAP four-disulfide core domain protein 5-like	LOC107373574	Wfdc17
XP_015797189.1	WAP four-disulfide core domain protein 2-like	LOC107373576	Wap
XP_015797189.1	WAP four-disulfide core domain protein 2-like	LOC107373576	Wfdc5
XP_015797189.1	WAP four-disulfide core domain protein 2-like	LOC107373576	Wfdc2
XP_015797190.1	mediator of RNA polymerase II transcription subunit 16	med16	Med16
XP_015797192.1	mitotic interactor and substrate of PLK1	misp	Misp
XP_015797199.1	acidic mammalian chitinase-like	LOC107373584	Chil1
XP_015797199.1	acidic mammalian chitinase-like	LOC107373584	Chit1
XP_015797199.1	acidic mammalian chitinase-like	LOC107373584	Chil5
XP_015797199.1	acidic mammalian chitinase-like	LOC107373584	Ovgp1
XP_015797199.1	acidic mammalian chitinase-like	LOC107373584	Chia1
XP_015797200.1	ADP-ribosylation factor-related protein 1-like	LOC107373585	Arfrp1
XP_015797201.1	acidic mammalian chitinase-like	LOC107373588	Chil3
XP_015797204.1	G protein-regulated inducer of neurite outgrowth 1	gprin1	Gprin1
XP_015797206.1	beta-synuclein	sncb	Sncb
XP_015797211.1	JNK1/MAPK8-associated membrane protein	jkamp	Jkampl
XP_015797211.1	JNK1/MAPK8-associated membrane protein	jkamp	Jkamp
XP_015797212.1	uncharacterized protein C4orf32 homolog	LOC107373597	Fam241b
XP_015797212.1	uncharacterized protein C4orf32 homolog	LOC107373597	Fam241a
XP_015797213.1	transient receptor potential cation channel subfamily M member 7	trpm7	Trpm6
XP_015797213.1	transient receptor potential cation channel subfamily M member 7	trpm7	Trpm7
XP_015797216.1	calcineurin B homologous protein 3	tesc	Tesc
XP_015797216.1	calcineurin B homologous protein 3	tesc	Tescl
XP_015797219.1	target of rapamycin complex 2 subunit MAPKAP1 isoform X1	mapkap1	Mapkap1
XP_015797220.1	target of rapamycin complex 2 subunit MAPKAP1 isoform X2	mapkap1	Mapkap1
XP_015797221.1	uncharacterized protein C9orf172 homolog	LOC107373605	Ajm1
XP_015797226.1	serine/threonine-protein kinase SBK1-like isoform X2	LOC107373609	Sbk3
XP_015797228.1	PR domain zinc finger protein 5-like	LOC107373610	Prdm5
XP_015797237.1	NEDD8 ultimate buster 1 isoform X3	nub1	Nub1
XP_015797238.1	gamma-crystallin N	crygn	Crygn
XP_015797239.1	xylulose kinase isoform X1	xylb	Xylb
XP_015797245.1	poly [ADP-ribose] polymerase 4	parp4	Parp4
XP_015797247.1	serine/threonine-protein kinase VRK1	vrk1	Vrk1
XP_015797250.1	histone-lysine N-methyltransferase setd3	setd3	Setd3
XP_015797253.1	ubiquitin carboxyl-terminal hydrolase 48-like	LOC107373635	Usp48
XP_015797254.1	protein inscuteable homolog	insc	Insc
XP_015797256.1	importin-5	ipo5	Ipo5
XP_015797256.1	importin-5	ipo5	Ranbp6
XP_015797260.1	zinc finger matrin-type protein 5	zmat5	Zmat5
XP_015797261.1	solute carrier organic anion transporter family member 3A1-like	LOC107373642	Slco3a1
XP_015797262.1	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial	ndufs6	Ndufs6
XP_015797263.1	39S ribosomal protein L36, mitochondrial	mrpl36	Mrpl36
XP_015797266.1	rab3 GTPase-activating protein non-catalytic subunit	rab3gap2	Rab3gap2
